period,height,median,mean,std,count,min,max,variable,tower
whole_period,015m,17.799999237060547,23.86647552401308,16.322648957673145,209963,0.10000000149011612,103.9000015258789,Sigma,TOWY
whole_period,033m,15.5,21.434620712650222,15.893163462233153,210013,0.10000000149011612,103.0999984741211,Sigma,TOWY
whole_period,015m,16.799999237060547,16.66528921408737,6.740100708569781,207218,0.8999999761581421,46.0,SigPhi,TOWA
whole_period,030m,13.899999618530273,14.330351339182627,7.322548165575306,207065,0.20000000298023224,45.79999923706055,SigPhi,TOWA
whole_period,015m,14.5,14.876840811365483,5.952241856189932,166435,0.10000000149011612,42.29999923706055,SigPhi,TOWB
whole_period,030m,12.5,13.635504113425592,6.904087735771882,161601,0.10000000149011612,46.400001525878906,SigPhi,TOWB
whole_period,015m,14.800000190734863,14.862450633207215,6.894358884968035,203825,0.10000000149011612,49.900001525878906,SigPhi,TOWD
whole_period,060m,9.199999809265137,11.063262445255097,7.584676378220872,203228,0.10000000149011612,56.400001525878906,SigPhi,TOWD
whole_period,010m,11.300000190734863,12.977671455964684,6.658687991258237,178386,0.800000011920929,41.20000076293945,SigPhi,TOWF
whole_period,025m,7.699999809265137,8.650012385250609,4.996500835760211,209978,0.5,31.299999237060547,SigPhi,TOWS
whole_period,015m,8.600000381469727,10.371609949155344,6.884539324005396,209982,0.6000000238418579,48.599998474121094,SigPhi,TOWY
whole_period,033m,11.800000190734863,13.924832767973914,6.909602203724257,209884,1.0,50.29999923706055,SigPhi,TOWY
whole_period,030m,219.8000030517578,177.98196243543126,97.89712154126902,208160,0.0,360.0,WDir,TOWA
whole_period,030m,162.0,149.3477037729337,97.3222465830958,188744,0.0,360.0,WDir,TOWB
whole_period,060m,202.3000030517578,166.36136556492124,96.82047723879208,209044,0.0,360.0,WDir,TOWD
whole_period,010m,217.3000030517578,192.39494888762775,103.1554833677156,178931,0.0,360.0,WDir,TOWF
whole_period,025m,200.0,170.16196270498443,101.9383439623859,209894,0.0,360.0,WDir,TOWS
whole_period,033m,197.0,159.57668971490298,96.17554063570758,210139,0.0,360.0,WDir,TOWY
whole_period,015m,0.0,0.001735305973765572,0.014761032577200961,209374,0.0,1.2795275449752808,PrecipIn,TOWA
whole_period,015m,0.0,0.0016698673120283053,0.014901732585606451,188801,0.0,1.0299999713897705,PrecipIn,TOWB
whole_period,002m,0.0,0.0018051271333725234,0.016151678786943797,204246,0.0,1.4199999570846558,PrecipIn,TOWD
whole_period,010m,0.0,0.0017346955738989738,0.014754922413439696,178821,0.0,1.0,PrecipIn,TOWF
whole_period,015m,0.0,0.0017622999400020913,0.014818923719329111,210265,0.0,1.0399999618530273,PrecipIn,TOWY
whole_period,002m,10.399999618530273,193.41459471416425,291.32792836695216,195235,-5.0,1240.4000244140625,SolarRadWm2,TOWD
whole_period,010m,3.5,176.83550013282613,273.2703646933703,175560,-4.800000190734863,1207.199951171875,SolarRadWm2,TOWF
whole_period,015m,282.6495056152344,361.4946416242278,308.62663240246417,107516,0.0,1229.001953125,SolarRadWm2,TOWY
